app,variable,treatment,value
Spotify,download,low_v3_download,130.97142
Spotify,download,low_v3_download,139.441428
Spotify,download,low_v3_download,151.205328
Spotify,download,low_v3_download,151.36218
Spotify,download,low_v3_download,151.519032
Spotify,download,low_v3_download,151.519032
Spotify,download,low_v3_download,151.519032
Spotify,download,low_v3_download,151.519032
Spotify,download,low_v3_download,151.989588
Spotify,download,low_v3_download,152.460144
Spotify,download,low_v3_download,152.773848
Spotify,download,low_v3_download,153.871812
Spotify,download,low_v3_download,154.028664
Spotify,download,low_v3_download,154.185516
Spotify,download,low_v3_download,154.342368
Spotify,download,low_v3_download,154.342368
Spotify,download,low_v3_download,154.49922
Spotify,download,low_v3_download,154.49922
Spotify,download,low_v3_download,154.49922
Spotify,download,low_v3_download,154.656072
Spotify,download,low_v3_download,154.812924
Spotify,download,low_v3_download,155.440332
Spotify,download,low_v3_download,156.06774
Spotify,download,low_v3_download,156.381444
Spotify,download,low_v3_download,156.538296
Spotify,download,low_v3_download,161.55756
Spotify,download,low_v3_download,185.08536
Spotify,download,low_v3_download,191.35944
Spotify,download,low_v3_download,196.065
Spotify,download,low_v3_download,207.04464
Spotify,download,normal_v2_download,151.99146
Spotify,download,normal_v2_download,152.1448896
Spotify,download,normal_v2_download,152.14608
Spotify,download,normal_v2_download,152.2024164
Spotify,download,normal_v2_download,152.2097367
Spotify,download,normal_v2_download,152.2124885
Spotify,download,normal_v2_download,152.2124885
Spotify,download,normal_v2_download,152.45532
Spotify,download,normal_v2_download,152.60994
Spotify,download,normal_v2_download,152.91918
Spotify,download,normal_v2_download,153.3091296
Spotify,download,normal_v2_download,153.3310819
Spotify,download,normal_v2_download,153.38304
Spotify,download,normal_v2_download,153.3930812
Spotify,download,normal_v2_download,153.3930812
Spotify,download,normal_v2_download,153.53766
Spotify,download,normal_v2_download,153.9107989
Spotify,download,normal_v2_download,154.020918
Spotify,download,normal_v2_download,154.1336636
Spotify,download,normal_v2_download,154.1336636
Spotify,download,normal_v2_download,154.62
Spotify,download,normal_v2_download,154.62
Spotify,download,normal_v2_download,154.62
Spotify,download,normal_v2_download,154.62
Spotify,download,normal_v2_download,154.7610589
Spotify,download,normal_v2_download,165.4434
Spotify,download,normal_v2_download,171.6282
Spotify,download,normal_v2_download,174.7206
Spotify,download,normal_v2_download,177.813
Spotify,download,normal_v2_download,177.813
Spotify,download,high_v1_download,129.313368
Spotify,download,high_v1_download,142.182684
Spotify,download,high_v1_download,151.020648
Spotify,download,high_v1_download,151.1757
Spotify,download,high_v1_download,151.330752
Spotify,download,high_v1_download,152.106012
Spotify,download,high_v1_download,152.261064
Spotify,download,high_v1_download,152.261064
Spotify,download,high_v1_download,152.72622
Spotify,download,high_v1_download,153.191376
