app,variable,treatment,value
Spotify,high,high_v1_download,129.313368
Spotify,high,high_v1_download,142.182684
Spotify,high,high_v1_download,151.020648
Spotify,high,high_v1_download,151.1757
Spotify,high,high_v1_download,151.330752
Spotify,high,high_v1_download,152.106012
Spotify,high,high_v1_download,152.261064
Spotify,high,high_v1_download,152.261064
Spotify,high,high_v1_download,152.72622
Spotify,high,high_v1_download,153.191376
Spotify,high,high_v1_download,153.50148
Spotify,high,high_v1_download,153.50148
Spotify,high,high_v1_download,153.811584
Spotify,high,high_v1_download,153.966636
Spotify,high,high_v1_download,154.121688
Spotify,high,high_v1_download,154.121688
Spotify,high,high_v1_download,154.586844
Spotify,high,high_v1_download,154.741896
Spotify,high,high_v1_download,154.896948
Spotify,high,high_v1_download,154.896948
Spotify,high,high_v1_download,155.052
Spotify,high,high_v1_download,156.60252
Spotify,high,high_v1_download,156.60252
Spotify,high,high_v1_download,156.60252
Spotify,high,high_v1_download,158.15304
Spotify,high,high_v1_download,158.15304
Spotify,high,high_v1_download,158.15304
Spotify,high,high_v1_download,167.45616
Spotify,high,high_v1_download,189.16344
Spotify,high,high_v1_download,196.91604
Spotify,high,high_v1_wifi,135.991548
Spotify,high,high_v1_wifi,151.171272
Spotify,high,high_v1_wifi,151.171272
Spotify,high,high_v1_wifi,151.171272
Spotify,high,high_v1_wifi,151.484256
Spotify,high,high_v1_wifi,151.79724
Spotify,high,high_v1_wifi,151.79724
Spotify,high,high_v1_wifi,151.953732
Spotify,high,high_v1_wifi,152.110224
Spotify,high,high_v1_wifi,152.110224
Spotify,high,high_v1_wifi,152.5797
Spotify,high,high_v1_wifi,152.5797
Spotify,high,high_v1_wifi,152.892684
Spotify,high,high_v1_wifi,153.049176
Spotify,high,high_v1_wifi,153.988128
Spotify,high,high_v1_wifi,154.301112
Spotify,high,high_v1_wifi,154.92708
Spotify,high,high_v1_wifi,154.92708
Spotify,high,high_v1_wifi,155.083572
Spotify,high,high_v1_wifi,155.396556
Spotify,high,high_v1_wifi,158.05692
Spotify,high,high_v1_wifi,161.18676
Spotify,high,high_v1_wifi,161.18676
Spotify,high,high_v1_wifi,161.18676
Spotify,high,high_v1_wifi,183.09564
Spotify,high,high_v1_wifi,186.22548
Spotify,high,high_v1_wifi,187.7904
Spotify,high,high_v1_wifi,189.35532
Spotify,high,high_v1_wifi,189.35532
Spotify,high,high_v1_wifi,190.92024
Spotify,high,high_v2_wifi,153.4159451
Spotify,high,high_v2_wifi,153.6823412
Spotify,high,high_v2_wifi,153.92664
Spotify,high,high_v2_wifi,154.9259141
Spotify,high,high_v2_wifi,155.026116
Spotify,high,high_v2_wifi,155.026116
Spotify,high,high_v2_wifi,155.099103
Spotify,high,high_v2_wifi,155.3233837
Spotify,high,high_v2_wifi,155.361973
Spotify,high,high_v2_wifi,155.3638094
Spotify,high,high_v2_wifi,155.3638094
Spotify,high,high_v2_wifi,155.49732
Spotify,high,high_v2_wifi,155.6297961
Spotify,high,high_v2_wifi,155.8201975
Spotify,high,high_v2_wifi,155.968524
Spotify,high,high_v2_wifi,157.0156215
Spotify,high,high_v2_wifi,157.0156215
Spotify,high,high_v2_wifi,157.068
Spotify,high,high_v2_wifi,157.068
Spotify,high,high_v2_wifi,157.068
Spotify,high,high_v2_wifi,157.068
Spotify,high,high_v2_wifi,164.9214
Spotify,high,high_v2_wifi,169.63344
Spotify,high,high_v2_wifi,175.91616
Spotify,high,high_v2_wifi,177.48684
Spotify,high,high_v2_wifi,179.05752
Spotify,high,high_v2_wifi,179.05752
Spotify,high,high_v2_wifi,182.19888
Spotify,high,high_v2_wifi,188.4816
Spotify,high,high_v2_wifi,191.62296
Spotify,high,high_v2_download,133.49286
Spotify,high,high_v2_download,152.697096
Spotify,high,high_v2_download,153.165492
Spotify,high,high_v2_download,153.8836203
Spotify,high,high_v2_download,154.0249886
Spotify,high,high_v2_download,154.102284
Spotify,high,high_v2_download,154.258416
Spotify,high,high_v2_download,154.564019
Spotify,high,high_v2_download,154.564019
Spotify,high,high_v2_download,155.0308833
Spotify,high,high_v2_download,155.2126943
Spotify,high,high_v2_download,155.35134
Spotify,high,high_v2_download,155.3864088
Spotify,high,high_v2_download,155.819736
Spotify,high,high_v2_download,155.975868
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.132
Spotify,high,high_v2_download,156.1324386
Spotify,high,high_v2_download,156.138251
Spotify,high,high_v2_download,156.1396037
Spotify,high,high_v2_download,156.230433
Spotify,high,high_v2_download,156.3527125
Spotify,high,high_v2_download,163.9386
Spotify,high,high_v2_download,170.18388
Spotify,high,high_v2_download,171.7452
Spotify,high,high_v2_download,179.5518
Spotify,high,high_v3_wifi,128.652768
Spotify,high,high_v3_wifi,130.682484
Spotify,high,high_v3_wifi,146.451816
Spotify,high,high_v3_wifi,152.2287
Spotify,high,high_v3_wifi,154.258416
Spotify,high,high_v3_wifi,155.507472
Spotify,high,high_v3_wifi,155.663604
Spotify,high,high_v3_wifi,155.819736
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,157.69332
Spotify,high,high_v3_wifi,159.25464
Spotify,high,high_v3_wifi,159.25464
Spotify,high,high_v3_wifi,159.25464
Spotify,high,high_v3_wifi,159.25464
Spotify,high,high_v3_wifi,159.25464
Spotify,high,high_v3_wifi,160.81596
Spotify,high,high_v3_wifi,160.81596
Spotify,high,high_v3_wifi,165.49992
Spotify,high,high_v3_wifi,170.18388
Spotify,high,high_v3_wifi,187.3584
Spotify,high,high_v3_wifi,190.48104
Spotify,high,high_v3_wifi,192.04236
Spotify,high,high_v3_wifi,193.60368
Spotify,high,high_v3_wifi,196.72632
Spotify,high,high_v3_wifi,201.41028
Spotify,high,high_v3_wifi,201.41028
Spotify,high,high_v3_download,153.0427435
Spotify,high,high_v3_download,153.1008558
Spotify,high,high_v3_download,153.12024
Spotify,high,high_v3_download,153.12024
Spotify,high,high_v3_download,153.187112
Spotify,high,high_v3_download,153.4250738
Spotify,high,high_v3_download,153.58518
Spotify,high,high_v3_download,153.58518
Spotify,high,high_v3_download,153.58518
Spotify,high,high_v3_download,153.74016
Spotify,high,high_v3_download,153.9882116
Spotify,high,high_v3_download,153.9882116
Spotify,high,high_v3_download,154.0893945
Spotify,high,high_v3_download,154.5568664
Spotify,high,high_v3_download,154.6996783
Spotify,high,high_v3_download,155.7578311
Spotify,high,high_v3_download,156.1993003
Spotify,high,high_v3_download,156.4905346
Spotify,high,high_v3_download,156.5298
Spotify,high,high_v3_download,156.5298
Spotify,high,high_v3_download,156.5298
Spotify,high,high_v3_download,156.5298
Spotify,high,high_v3_download,156.8603793
Spotify,high,high_v3_download,164.2788
Spotify,high,high_v3_download,167.3784
Spotify,high,high_v3_download,173.5776
Spotify,high,high_v3_download,176.6772
Spotify,high,high_v3_download,176.6772
Spotify,high,high_v3_download,184.4262
Spotify,high,high_v3_download,189.0756
YouTube Music,high,high_v2_wifi,152.3691
YouTube Music,high,high_v2_wifi,192.21948
YouTube Music,high,high_v2_wifi,195.345
YouTube Music,high,high_v2_wifi,198.47052
YouTube Music,high,high_v2_wifi,198.47052
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
YouTube Music,high,high_v2_wifi,200.03328
