app,variable,treatment,value
Spotify,low,low_v3_download,130.97142
Spotify,low,low_v3_download,139.441428
Spotify,low,low_v3_download,151.205328
Spotify,low,low_v3_download,151.36218
Spotify,low,low_v3_download,151.519032
Spotify,low,low_v3_download,151.519032
Spotify,low,low_v3_download,151.519032
Spotify,low,low_v3_download,151.519032
Spotify,low,low_v3_download,151.989588
Spotify,low,low_v3_download,152.460144
Spotify,low,low_v3_download,152.773848
Spotify,low,low_v3_download,153.871812
Spotify,low,low_v3_download,154.028664
Spotify,low,low_v3_download,154.185516
Spotify,low,low_v3_download,154.342368
Spotify,low,low_v3_download,154.342368
Spotify,low,low_v3_download,154.49922
Spotify,low,low_v3_download,154.49922
Spotify,low,low_v3_download,154.49922
Spotify,low,low_v3_download,154.656072
Spotify,low,low_v3_download,154.812924
Spotify,low,low_v3_download,155.440332
Spotify,low,low_v3_download,156.06774
Spotify,low,low_v3_download,156.381444
Spotify,low,low_v3_download,156.538296
Spotify,low,low_v3_download,161.55756
Spotify,low,low_v3_download,185.08536
Spotify,low,low_v3_download,191.35944
Spotify,low,low_v3_download,196.065
Spotify,low,low_v3_download,207.04464
Spotify,low,low_v1_wifi,154.64556
Spotify,low,low_v1_wifi,154.64556
Spotify,low,low_v1_wifi,154.80288
Spotify,low,low_v1_wifi,155.27484
Spotify,low,low_v1_wifi,155.4402274
Spotify,low,low_v1_wifi,156.1158943
Spotify,low,low_v1_wifi,156.1236346
Spotify,low,low_v1_wifi,156.1650245
Spotify,low,low_v1_wifi,156.37608
Spotify,low,low_v1_wifi,156.3914999
Spotify,low,low_v1_wifi,156.5334
Spotify,low,low_v1_wifi,156.7133604
Spotify,low,low_v1_wifi,156.8089484
Spotify,low,low_v1_wifi,157.16268
Spotify,low,low_v1_wifi,157.32
Spotify,low,low_v1_wifi,157.32
Spotify,low,low_v1_wifi,157.32
Spotify,low,low_v1_wifi,157.3794226
Spotify,low,low_v1_wifi,157.4234208
Spotify,low,low_v1_wifi,158.0453226
Spotify,low,low_v1_wifi,158.3065841
Spotify,low,low_v1_wifi,158.8932
Spotify,low,low_v1_wifi,158.8932
Spotify,low,low_v1_wifi,158.8932
Spotify,low,low_v1_wifi,158.8932
Spotify,low,low_v1_wifi,158.8932
Spotify,low,low_v1_wifi,159.2183658
Spotify,low,low_v1_wifi,162.0396
Spotify,low,low_v1_wifi,177.7716
Spotify,low,low_v1_wifi,195.0768
Spotify,low,low_v2_wifi,152.33616
Spotify,low,low_v2_wifi,152.3864544
Spotify,low,low_v2_wifi,153.10944
Spotify,low,low_v2_wifi,153.2402079
Spotify,low,low_v2_wifi,153.5117691
Spotify,low,low_v2_wifi,153.728064
Spotify,low,low_v2_wifi,154.2128911
Spotify,low,low_v2_wifi,154.2341528
Spotify,low,low_v2_wifi,154.2526124
Spotify,low,low_v2_wifi,154.2681454
