app,variable,treatment,value
Spotify,normal,normal_v3_wifi,117.736416
Spotify,normal,normal_v3_wifi,122.097024
Spotify,normal,normal_v3_wifi,133.777224
Spotify,normal,normal_v3_wifi,138.760776
Spotify,normal,normal_v3_wifi,145.768896
Spotify,normal,normal_v3_wifi,153.244224
Spotify,normal,normal_v3_wifi,153.711432
Spotify,normal,normal_v3_wifi,153.711432
Spotify,normal,normal_v3_wifi,154.17864
Spotify,normal,normal_v3_wifi,154.490112
Spotify,normal,normal_v3_wifi,155.113056
Spotify,normal,normal_v3_wifi,155.736
Spotify,normal,normal_v3_wifi,157.29336
Spotify,normal,normal_v3_wifi,157.29336
Spotify,normal,normal_v3_wifi,157.29336
Spotify,normal,normal_v3_wifi,158.85072
Spotify,normal,normal_v3_wifi,158.85072
Spotify,normal,normal_v3_wifi,158.85072
Spotify,normal,normal_v3_wifi,160.40808
Spotify,normal,normal_v3_wifi,161.96544
Spotify,normal,normal_v3_wifi,161.96544
Spotify,normal,normal_v3_wifi,180.65376
Spotify,normal,normal_v3_wifi,189.99792
Spotify,normal,normal_v3_wifi,189.99792
Spotify,normal,normal_v3_wifi,193.11264
Spotify,normal,normal_v3_wifi,196.22736
Spotify,normal,normal_v3_wifi,200.89944
Spotify,normal,normal_v3_wifi,200.89944
Spotify,normal,normal_v3_wifi,202.4568
Spotify,normal,normal_v3_wifi,208.68624
Spotify,normal,normal_v2_download,151.99146
Spotify,normal,normal_v2_download,152.1448896
Spotify,normal,normal_v2_download,152.14608
Spotify,normal,normal_v2_download,152.2024164
Spotify,normal,normal_v2_download,152.2097367
Spotify,normal,normal_v2_download,152.2124885
Spotify,normal,normal_v2_download,152.2124885
Spotify,normal,normal_v2_download,152.45532
Spotify,normal,normal_v2_download,152.60994
Spotify,normal,normal_v2_download,152.91918
Spotify,normal,normal_v2_download,153.3091296
Spotify,normal,normal_v2_download,153.3310819
Spotify,normal,normal_v2_download,153.38304
Spotify,normal,normal_v2_download,153.3930812
Spotify,normal,normal_v2_download,153.3930812
Spotify,normal,normal_v2_download,153.53766
Spotify,normal,normal_v2_download,153.9107989
Spotify,normal,normal_v2_download,154.020918
Spotify,normal,normal_v2_download,154.1336636
Spotify,normal,normal_v2_download,154.1336636
Spotify,normal,normal_v2_download,154.62
Spotify,normal,normal_v2_download,154.62
Spotify,normal,normal_v2_download,154.62
Spotify,normal,normal_v2_download,154.62
Spotify,normal,normal_v2_download,154.7610589
Spotify,normal,normal_v2_download,165.4434
Spotify,normal,normal_v2_download,171.6282
Spotify,normal,normal_v2_download,174.7206
Spotify,normal,normal_v2_download,177.813
Spotify,normal,normal_v2_download,177.813
Spotify,normal,normal_v3_download,120.729924
Spotify,normal,normal_v3_download,137.999484
Spotify,normal,normal_v3_download,154.0556889
Spotify,normal,normal_v3_download,154.327068
Spotify,normal,normal_v3_download,154.327068
Spotify,normal,normal_v3_download,155.269044
Spotify,normal,normal_v3_download,155.269044
Spotify,normal,normal_v3_download,155.269044
Spotify,normal,normal_v3_download,155.269044
Spotify,normal,normal_v3_download,155.42604
Spotify,normal,normal_v3_download,155.42604
Spotify,normal,normal_v3_download,155.4428689
Spotify,normal,normal_v3_download,155.817506
Spotify,normal,normal_v3_download,156.062305
Spotify,normal,normal_v3_download,156.0925895
Spotify,normal,normal_v3_download,156.1694723
Spotify,normal,normal_v3_download,156.1766531
Spotify,normal,normal_v3_download,156.209995
Spotify,normal,normal_v3_download,156.839004
Spotify,normal,normal_v3_download,156.9093102
Spotify,normal,normal_v3_download,156.996
Spotify,normal,normal_v3_download,158.56596
Spotify,normal,normal_v3_download,158.56596
Spotify,normal,normal_v3_download,158.56596
Spotify,normal,normal_v3_download,158.738933
Spotify,normal,normal_v3_download,177.40548
Spotify,normal,normal_v3_download,177.40548
Spotify,normal,normal_v3_download,182.11536
Spotify,normal,normal_v3_download,194.67504
Spotify,normal,normal_v3_download,204.0948
Spotify,normal,normal_v2_wifi,134.071128
Spotify,normal,normal_v2_wifi,140.986872
Spotify,normal,normal_v2_wifi,151.989192
Spotify,normal,normal_v2_wifi,152.303544
Spotify,normal,normal_v2_wifi,152.775072
Spotify,normal,normal_v2_wifi,153.403776
Spotify,normal,normal_v2_wifi,153.875304
Spotify,normal,normal_v2_wifi,154.03248
Spotify,normal,normal_v2_wifi,154.346832
Spotify,normal,normal_v2_wifi,154.661184
Spotify,normal,normal_v2_wifi,154.661184
Spotify,normal,normal_v2_wifi,155.132712
Spotify,normal,normal_v2_wifi,155.132712
Spotify,normal,normal_v2_wifi,155.132712
Spotify,normal,normal_v2_wifi,155.132712
Spotify,normal,normal_v2_wifi,155.132712
Spotify,normal,normal_v2_wifi,155.289888
Spotify,normal,normal_v2_wifi,155.447064
Spotify,normal,normal_v2_wifi,155.447064
Spotify,normal,normal_v2_wifi,155.447064
Spotify,normal,normal_v2_wifi,155.761416
Spotify,normal,normal_v2_wifi,156.232944
Spotify,normal,normal_v2_wifi,158.74776
Spotify,normal,normal_v2_wifi,166.60656
Spotify,normal,normal_v2_wifi,171.32184
Spotify,normal,normal_v2_wifi,176.03712
Spotify,normal,normal_v2_wifi,190.18296
Spotify,normal,normal_v2_wifi,191.75472
Spotify,normal,normal_v2_wifi,196.47
Spotify,normal,normal_v2_wifi,201.18528
Spotify,normal,normal_v1_wifi,149.239044
Spotify,normal,normal_v1_wifi,152.2382111
Spotify,normal,normal_v1_wifi,152.8983987
Spotify,normal,normal_v1_wifi,152.943012
Spotify,normal,normal_v1_wifi,153.56034
Spotify,normal,normal_v1_wifi,154.8086376
Spotify,normal,normal_v1_wifi,155.0775083
Spotify,normal,normal_v1_wifi,155.3972083
Spotify,normal,normal_v1_wifi,155.484
Spotify,normal,normal_v1_wifi,155.6502749
Spotify,normal,normal_v1_wifi,155.7078912
Spotify,normal,normal_v1_wifi,155.7078912
Spotify,normal,normal_v1_wifi,155.87532
Spotify,normal,normal_v1_wifi,155.87532
Spotify,normal,normal_v1_wifi,155.8817007
Spotify,normal,normal_v1_wifi,156.1635989
Spotify,normal,normal_v1_wifi,156.1638125
Spotify,normal,normal_v1_wifi,156.5705276
Spotify,normal,normal_v1_wifi,157.03884
Spotify,normal,normal_v1_wifi,157.03884
Spotify,normal,normal_v1_wifi,157.3684174
Spotify,normal,normal_v1_wifi,157.41864
Spotify,normal,normal_v1_wifi,158.0424544
Spotify,normal,normal_v1_wifi,158.96196
Spotify,normal,normal_v1_wifi,158.96196
Spotify,normal,normal_v1_wifi,165.13524
Spotify,normal,normal_v1_wifi,172.85184
Spotify,normal,normal_v1_wifi,175.93848
Spotify,normal,normal_v1_wifi,179.02512
Spotify,normal,normal_v1_wifi,206.79372
Spotify,normal,normal_v1_download,114.101712
Spotify,normal,normal_v1_download,121.573584
Spotify,normal,normal_v1_download,127.333152
Spotify,normal,normal_v1_download,132.781392
Spotify,normal,normal_v1_download,135.42768
Spotify,normal,normal_v1_download,153.017712
Spotify,normal,normal_v1_download,153.32904
Spotify,normal,normal_v1_download,153.951696
Spotify,normal,normal_v1_download,155.197008
Spotify,normal,normal_v1_download,155.197008
Spotify,normal,normal_v1_download,155.352672
Spotify,normal,normal_v1_download,155.508336
Spotify,normal,normal_v1_download,155.508336
Spotify,normal,normal_v1_download,155.664
Spotify,normal,normal_v1_download,155.664
Spotify,normal,normal_v1_download,155.664
Spotify,normal,normal_v1_download,155.664
Spotify,normal,normal_v1_download,155.664
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,157.22064
Spotify,normal,normal_v1_download,158.77728
Spotify,normal,normal_v1_download,160.33392
Spotify,normal,normal_v1_download,161.89056
Spotify,normal,normal_v1_download,188.35344
Spotify,normal,normal_v1_download,188.35344
Spotify,normal,normal_v1_download,191.46672
YouTube Music,normal,normal_v1_wifi,153.471672
YouTube Music,normal,normal_v1_wifi,180.4626
YouTube Music,normal,normal_v1_wifi,188.3088
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,194.58576
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,196.155
YouTube Music,normal,normal_v1_wifi,197.72424
YouTube Music,normal,normal_v1_wifi,199.29348
YouTube Music,normal,normal_v1_wifi,199.29348
YouTube Music,normal,normal_v1_wifi,200.86272
YouTube Music,normal,normal_v1_wifi,208.70892
YouTube Music,normal,normal_v3_download,150.019344
YouTube Music,normal,normal_v3_download,163.20096
YouTube Music,normal,normal_v3_download,182.15712
YouTube Music,normal,normal_v3_download,186.86808
YouTube Music,normal,normal_v3_download,193.14936
YouTube Music,normal,normal_v3_download,194.58576
YouTube Music,normal,normal_v3_download,194.58576
YouTube Music,normal,normal_v3_download,194.58576
YouTube Music,normal,normal_v3_download,194.58576
YouTube Music,normal,normal_v3_download,194.71968
YouTube Music,normal,normal_v3_download,196.155
YouTube Music,normal,normal_v3_download,196.155
YouTube Music,normal,normal_v3_download,196.155
YouTube Music,normal,normal_v3_download,196.29
YouTube Music,normal,normal_v3_download,196.29
YouTube Music,normal,normal_v3_download,196.29
YouTube Music,normal,normal_v3_download,196.29
YouTube Music,normal,normal_v3_download,196.29
YouTube Music,normal,normal_v3_download,197.86032
YouTube Music,normal,normal_v3_download,197.86032
YouTube Music,normal,normal_v3_download,199.29348
YouTube Music,normal,normal_v3_download,199.29348
YouTube Music,normal,normal_v3_download,199.43064
YouTube Music,normal,normal_v3_download,200.86272
YouTube Music,normal,normal_v3_download,200.86272
YouTube Music,normal,normal_v3_download,200.86272
YouTube Music,normal,normal_v3_download,200.86272
YouTube Music,normal,normal_v3_download,201.00096
YouTube Music,normal,normal_v3_download,201.00096
YouTube Music,normal,normal_v3_download,204.0012
YouTube Music,normal,normal_v1_download,150.996384
YouTube Music,normal,normal_v1_download,151.464348
YouTube Music,normal,normal_v1_download,151.620336
YouTube Music,normal,normal_v1_download,194.985
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,196.54488
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,198.10476
YouTube Music,normal,normal_v1_download,199.66464
YouTube Music,normal,normal_v1_download,199.66464
YouTube Music,normal,normal_v1_download,199.66464
YouTube Music,normal,normal_v3_wifi,183.76956
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,196.335
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,197.90568
YouTube Music,normal,normal_v3_wifi,199.47636
YouTube Music,normal,normal_v3_wifi,199.47636
YouTube Music,normal,normal_v3_wifi,199.47636
YouTube Music,normal,normal_v2_download,152.493336
YouTube Music,normal,normal_v2_download,156.564
YouTube Music,normal,normal_v2_download,189.44244
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,194.13936
YouTube Music,normal,normal_v2_download,195.705
YouTube Music,normal,normal_v2_download,195.705
YouTube Music,normal,normal_v2_download,195.705
YouTube Music,normal,normal_v2_download,195.705
YouTube Music,normal,normal_v2_download,198.83628
YouTube Music,normal,normal_v2_download,198.83628
YouTube Music,normal,normal_v2_download,200.40192
YouTube Music,normal,normal_v2_download,200.40192
YouTube Music,normal,normal_v2_download,203.5332
YouTube Music,normal,normal_v2_download,205.09884
YouTube Music,normal,normal_v2_download,220.75524
YouTube Music,normal,normal_v2_wifi,152.040672
YouTube Music,normal,normal_v2_wifi,185.72256
YouTube Music,normal,normal_v2_wifi,195.16608
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,196.74
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,198.31392
YouTube Music,normal,normal_v2_wifi,199.88784
YouTube Music,normal,normal_v2_wifi,199.88784
YouTube Music,normal,normal_v2_wifi,199.88784
YouTube Music,normal,normal_v2_wifi,199.88784
YouTube Music,normal,normal_v2_wifi,201.46176
YouTube Music,normal,normal_v2_wifi,201.46176
