app,variable,treatment,value
Spotify,v1,low_v1_wifi,154.64556
Spotify,v1,low_v1_wifi,154.64556
Spotify,v1,low_v1_wifi,154.80288
Spotify,v1,low_v1_wifi,155.27484
Spotify,v1,low_v1_wifi,155.4402274
Spotify,v1,low_v1_wifi,156.1158943
Spotify,v1,low_v1_wifi,156.1236346
Spotify,v1,low_v1_wifi,156.1650245
Spotify,v1,low_v1_wifi,156.37608
Spotify,v1,low_v1_wifi,156.3914999
Spotify,v1,low_v1_wifi,156.5334
Spotify,v1,low_v1_wifi,156.7133604
Spotify,v1,low_v1_wifi,156.8089484
Spotify,v1,low_v1_wifi,157.16268
Spotify,v1,low_v1_wifi,157.32
Spotify,v1,low_v1_wifi,157.32
Spotify,v1,low_v1_wifi,157.32
Spotify,v1,low_v1_wifi,157.3794226
Spotify,v1,low_v1_wifi,157.4234208
Spotify,v1,low_v1_wifi,158.0453226
Spotify,v1,low_v1_wifi,158.3065841
Spotify,v1,low_v1_wifi,158.8932
Spotify,v1,low_v1_wifi,158.8932
Spotify,v1,low_v1_wifi,158.8932
Spotify,v1,low_v1_wifi,158.8932
Spotify,v1,low_v1_wifi,158.8932
Spotify,v1,low_v1_wifi,159.2183658
Spotify,v1,low_v1_wifi,162.0396
Spotify,v1,low_v1_wifi,177.7716
Spotify,v1,low_v1_wifi,195.0768
Spotify,v1,high_v1_download,129.313368
Spotify,v1,high_v1_download,142.182684
Spotify,v1,high_v1_download,151.020648
Spotify,v1,high_v1_download,151.1757
Spotify,v1,high_v1_download,151.330752
Spotify,v1,high_v1_download,152.106012
Spotify,v1,high_v1_download,152.261064
Spotify,v1,high_v1_download,152.261064
Spotify,v1,high_v1_download,152.72622
Spotify,v1,high_v1_download,153.191376
Spotify,v1,high_v1_download,153.50148
Spotify,v1,high_v1_download,153.50148
Spotify,v1,high_v1_download,153.811584
Spotify,v1,high_v1_download,153.966636
Spotify,v1,high_v1_download,154.121688
Spotify,v1,high_v1_download,154.121688
Spotify,v1,high_v1_download,154.586844
Spotify,v1,high_v1_download,154.741896
Spotify,v1,high_v1_download,154.896948
Spotify,v1,high_v1_download,154.896948
Spotify,v1,high_v1_download,155.052
Spotify,v1,high_v1_download,156.60252
Spotify,v1,high_v1_download,156.60252
Spotify,v1,high_v1_download,156.60252
Spotify,v1,high_v1_download,158.15304
Spotify,v1,high_v1_download,158.15304
Spotify,v1,high_v1_download,158.15304
Spotify,v1,high_v1_download,167.45616
Spotify,v1,high_v1_download,189.16344
Spotify,v1,high_v1_download,196.91604
Spotify,v1,veryhigh_v1_download,122.21784
Spotify,v1,veryhigh_v1_download,156.6108
Spotify,v1,veryhigh_v1_download,158.1357432
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1462
Spotify,v1,veryhigh_v1_download,158.1940806
Spotify,v1,veryhigh_v1_download,158.7370332
Spotify,v1,veryhigh_v1_download,158.7561277
Spotify,v1,veryhigh_v1_download,158.9627136
Spotify,v1,veryhigh_v1_download,159.3131265
Spotify,v1,veryhigh_v1_download,159.6816
Spotify,v1,veryhigh_v1_download,159.6816
Spotify,v1,veryhigh_v1_download,159.6816
Spotify,v1,veryhigh_v1_download,159.6816
Spotify,v1,veryhigh_v1_download,159.6816
Spotify,v1,veryhigh_v1_download,160.2473251
Spotify,v1,veryhigh_v1_download,161.217
Spotify,v1,veryhigh_v1_download,161.217
Spotify,v1,veryhigh_v1_download,161.772824
Spotify,v1,veryhigh_v1_download,162.7524
Spotify,v1,veryhigh_v1_download,164.2878
Spotify,v1,veryhigh_v1_download,196.5312
Spotify,v1,veryhigh_v1_wifi,157.36608
Spotify,v1,veryhigh_v1_wifi,158.1380455
Spotify,v1,veryhigh_v1_wifi,158.606061
Spotify,v1,veryhigh_v1_wifi,158.92416
Spotify,v1,veryhigh_v1_wifi,158.92416
Spotify,v1,veryhigh_v1_wifi,158.92416
Spotify,v1,veryhigh_v1_wifi,158.92416
Spotify,v1,veryhigh_v1_wifi,159.525987
Spotify,v1,veryhigh_v1_wifi,160.0290387
Spotify,v1,veryhigh_v1_wifi,160.2270021
Spotify,v1,veryhigh_v1_wifi,160.48224
Spotify,v1,veryhigh_v1_wifi,160.48224
Spotify,v1,veryhigh_v1_wifi,160.48224
Spotify,v1,veryhigh_v1_wifi,160.48224
Spotify,v1,veryhigh_v1_wifi,161.0472705
Spotify,v1,veryhigh_v1_wifi,161.2398623
Spotify,v1,veryhigh_v1_wifi,161.3441244
Spotify,v1,veryhigh_v1_wifi,161.6481193
Spotify,v1,veryhigh_v1_wifi,161.904971
Spotify,v1,veryhigh_v1_wifi,162.04032
Spotify,v1,veryhigh_v1_wifi,162.04032
Spotify,v1,veryhigh_v1_wifi,162.04032
Spotify,v1,veryhigh_v1_wifi,163.083583
Spotify,v1,veryhigh_v1_wifi,163.4314855
Spotify,v1,veryhigh_v1_wifi,163.5984
Spotify,v1,veryhigh_v1_wifi,165.15648
Spotify,v1,veryhigh_v1_wifi,182.29536
Spotify,v1,veryhigh_v1_wifi,186.9696
Spotify,v1,veryhigh_v1_wifi,186.9696
