app,variable,treatment,value
Spotify,veryhigh,veryhigh_v3_wifi,134.585784
Spotify,veryhigh,veryhigh_v3_wifi,136.147104
Spotify,veryhigh,veryhigh_v3_wifi,143.329176
Spotify,veryhigh,veryhigh_v3_wifi,154.414548
Spotify,veryhigh,veryhigh_v3_wifi,156.132
Spotify,veryhigh,veryhigh_v3_wifi,156.132
Spotify,veryhigh,veryhigh_v3_wifi,156.132
Spotify,veryhigh,veryhigh_v3_wifi,157.69332
Spotify,veryhigh,veryhigh_v3_wifi,157.69332
Spotify,veryhigh,veryhigh_v3_wifi,157.69332
Spotify,veryhigh,veryhigh_v3_wifi,157.69332
Spotify,veryhigh,veryhigh_v3_wifi,157.69332
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,159.25464
Spotify,veryhigh,veryhigh_v3_wifi,160.81596
Spotify,veryhigh,veryhigh_v3_wifi,167.06124
Spotify,veryhigh,veryhigh_v3_wifi,173.30652
Spotify,veryhigh,veryhigh_v3_wifi,184.23576
Spotify,veryhigh,veryhigh_v3_wifi,188.91972
Spotify,veryhigh,veryhigh_v3_wifi,193.60368
Spotify,veryhigh,veryhigh_v3_wifi,198.28764
Spotify,veryhigh,veryhigh_v3_wifi,202.9716
Spotify,veryhigh,veryhigh_v3_wifi,206.09424
Spotify,veryhigh,veryhigh_v3_wifi,212.33952
Spotify,veryhigh,veryhigh_v3_download,158.42052
Spotify,veryhigh,veryhigh_v3_download,158.42052
Spotify,veryhigh,veryhigh_v3_download,158.42052
Spotify,veryhigh,veryhigh_v3_download,159.2069073
Spotify,veryhigh,veryhigh_v3_download,161.55756
Spotify,veryhigh,veryhigh_v3_download,161.55756
Spotify,veryhigh,veryhigh_v3_download,161.55756
Spotify,veryhigh,veryhigh_v3_download,161.55756
Spotify,veryhigh,veryhigh_v3_download,161.55756
Spotify,veryhigh,veryhigh_v3_download,161.55756
