app,variable,treatment,value
Spotify,wifi,low_v1_wifi,154.64556
Spotify,wifi,low_v1_wifi,154.64556
Spotify,wifi,low_v1_wifi,154.80288
Spotify,wifi,low_v1_wifi,155.27484
Spotify,wifi,low_v1_wifi,155.4402274
Spotify,wifi,low_v1_wifi,156.1158943
Spotify,wifi,low_v1_wifi,156.1236346
Spotify,wifi,low_v1_wifi,156.1650245
Spotify,wifi,low_v1_wifi,156.37608
Spotify,wifi,low_v1_wifi,156.3914999
Spotify,wifi,low_v1_wifi,156.5334
Spotify,wifi,low_v1_wifi,156.7133604
Spotify,wifi,low_v1_wifi,156.8089484
Spotify,wifi,low_v1_wifi,157.16268
Spotify,wifi,low_v1_wifi,157.32
Spotify,wifi,low_v1_wifi,157.32
Spotify,wifi,low_v1_wifi,157.32
Spotify,wifi,low_v1_wifi,157.3794226
Spotify,wifi,low_v1_wifi,157.4234208
Spotify,wifi,low_v1_wifi,158.0453226
Spotify,wifi,low_v1_wifi,158.3065841
Spotify,wifi,low_v1_wifi,158.8932
Spotify,wifi,low_v1_wifi,158.8932
Spotify,wifi,low_v1_wifi,158.8932
Spotify,wifi,low_v1_wifi,158.8932
Spotify,wifi,low_v1_wifi,158.8932
Spotify,wifi,low_v1_wifi,159.2183658
Spotify,wifi,low_v1_wifi,162.0396
Spotify,wifi,low_v1_wifi,177.7716
Spotify,wifi,low_v1_wifi,195.0768
Spotify,wifi,normal_v3_wifi,117.736416
Spotify,wifi,normal_v3_wifi,122.097024
Spotify,wifi,normal_v3_wifi,133.777224
Spotify,wifi,normal_v3_wifi,138.760776
Spotify,wifi,normal_v3_wifi,145.768896
Spotify,wifi,normal_v3_wifi,153.244224
Spotify,wifi,normal_v3_wifi,153.711432
Spotify,wifi,normal_v3_wifi,153.711432
Spotify,wifi,normal_v3_wifi,154.17864
Spotify,wifi,normal_v3_wifi,154.490112
Spotify,wifi,normal_v3_wifi,155.113056
Spotify,wifi,normal_v3_wifi,155.736
Spotify,wifi,normal_v3_wifi,157.29336
Spotify,wifi,normal_v3_wifi,157.29336
Spotify,wifi,normal_v3_wifi,157.29336
Spotify,wifi,normal_v3_wifi,158.85072
Spotify,wifi,normal_v3_wifi,158.85072
Spotify,wifi,normal_v3_wifi,158.85072
Spotify,wifi,normal_v3_wifi,160.40808
Spotify,wifi,normal_v3_wifi,161.96544
Spotify,wifi,normal_v3_wifi,161.96544
Spotify,wifi,normal_v3_wifi,180.65376
Spotify,wifi,normal_v3_wifi,189.99792
Spotify,wifi,normal_v3_wifi,189.99792
Spotify,wifi,normal_v3_wifi,193.11264
Spotify,wifi,normal_v3_wifi,196.22736
Spotify,wifi,normal_v3_wifi,200.89944
Spotify,wifi,normal_v3_wifi,200.89944
Spotify,wifi,normal_v3_wifi,202.4568
Spotify,wifi,normal_v3_wifi,208.68624
Spotify,wifi,low_v2_wifi,152.33616
Spotify,wifi,low_v2_wifi,152.3864544
Spotify,wifi,low_v2_wifi,153.10944
Spotify,wifi,low_v2_wifi,153.2402079
Spotify,wifi,low_v2_wifi,153.5117691
Spotify,wifi,low_v2_wifi,153.728064
Spotify,wifi,low_v2_wifi,154.2128911
Spotify,wifi,low_v2_wifi,154.2341528
Spotify,wifi,low_v2_wifi,154.2526124
Spotify,wifi,low_v2_wifi,154.2681454
Spotify,wifi,low_v2_wifi,154.2734106
Spotify,wifi,low_v2_wifi,154.4580522
Spotify,wifi,low_v2_wifi,154.4932254
Spotify,wifi,low_v2_wifi,154.5295631
Spotify,wifi,low_v2_wifi,154.656
Spotify,wifi,low_v2_wifi,154.7134531
Spotify,wifi,low_v2_wifi,155.360144
Spotify,wifi,low_v2_wifi,156.20256
Spotify,wifi,low_v2_wifi,156.4484754
Spotify,wifi,low_v2_wifi,156.7944882
Spotify,wifi,low_v2_wifi,159.29568
Spotify,wifi,low_v2_wifi,160.84224
Spotify,wifi,low_v2_wifi,163.93536
Spotify,wifi,low_v2_wifi,170.1216
Spotify,wifi,low_v2_wifi,170.1216
Spotify,wifi,low_v2_wifi,173.21472
Spotify,wifi,low_v2_wifi,180.94752
Spotify,wifi,low_v2_wifi,180.94752
Spotify,wifi,low_v2_wifi,180.94752
Spotify,wifi,low_v2_wifi,182.49408
Spotify,wifi,veryhigh_v3_wifi,134.585784
Spotify,wifi,veryhigh_v3_wifi,136.147104
Spotify,wifi,veryhigh_v3_wifi,143.329176
Spotify,wifi,veryhigh_v3_wifi,154.414548
Spotify,wifi,veryhigh_v3_wifi,156.132
Spotify,wifi,veryhigh_v3_wifi,156.132
Spotify,wifi,veryhigh_v3_wifi,156.132
Spotify,wifi,veryhigh_v3_wifi,157.69332
Spotify,wifi,veryhigh_v3_wifi,157.69332
